"","GSM1970196","GSM1970197","GSM1970198","GSM1970199","GSM1970200","GSM1970201","GSM1970202","GSM1970203","GSM1970204","GSM1970205","GSM1970206","GSM1970207","GSM1970208","GSM1970209","GSM1970210","GSM1970211","GSM1970212","GSM1970213","GSM1970214","GSM1970215","GSM1970216","GSM1970217","GSM1970218","GSM1970219","GSM1970220","GSM1970221","GSM1970222","GSM1970223","GSM1970224","GSM1970225","GSM1970226","GSM1970227","GSM1970228","GSM1970229","GSM1970230","GSM1970231"
"FRY",4.18068977479338,7.01705734631039,4.27311027697306,4.51198648026699,5.3622724641829,4.54293087824762,5.8515742539291,4.27386446665116,7.36294161023847,4.22742097934456,7.03764771912026,4.17969711159018,5.94114873242879,4.1895228210227,5.04994875658055,4.65931621934743,5.14975821314831,4.3050626602916,4.81729272521208,4.28477768325985,4.62737622921559,4.37165087940751,5.21795246411078,4.62248006441706,6.81681577962491,4.26505490758899,7.40953802530488,4.14912947554742,6.17048936529086,4.49906526035507,5.73112699636936,5.96394108011342,8.22008076001365,4.37775915298614,7.01038786378792,4.31055664462764
"ANXA10",5.9514917673536,9.99073946651574,9.88679445094752,4.63865170504909,8.23261662662246,5.11024185813721,8.76472643681334,6.12968768871004,8.90785648814884,4.89576221219238,8.85278719332197,5.71037379630738,7.97745839458945,4.0877083344859,7.47992846779099,4.2428038701569,8.51920571913792,4.95180406471846,7.54998528343697,4.09950106729986,5.70928219075477,4.8045410478496,7.68957200778933,6.24466185653882,7.02330016074557,6.81919590172777,11.401561026934,7.68375397794425,10.6237250074611,6.50181245019774,6.579613444382,10.8981998632283,10.5272178158048,6.40203262978767,8.05939807402325,4.57270809326735
"KLK8",4.41603656441677,5.99012343676484,6.26096271862927,4.59447464332287,5.47031242839811,4.56967597740839,6.69516376671831,5.02594096370503,8.36560510328472,4.76132298705203,5.94944136641872,5.17846172199493,6.76067812991493,4.57519125856965,5.08157241933528,4.41423699398999,6.40157247146006,5.20876791699872,6.7371047708945,4.55220439239208,5.11610580703665,4.6219707742345,5.5342239109924,4.45422366157899,7.39630317932633,4.53218310387144,8.49587505820165,4.76413181117186,8.02482773970165,5.15406227336049,5.02906331523092,8.9978795340521,9.75628901541821,6.02247119961377,7.62361029295863,5.84720611768186
"DCBLD2",6.80141953022668,4.88817535033044,7.26320994135354,5.77817006165359,5.70501201334894,4.88358556917637,5.87264143715181,6.29418021987444,5.21334484557,5.54464239518918,5.01125440995661,6.20491224013624,5.28385700802022,5.34328074934003,5.8877901985057,6.21095714300082,5.35099026857129,5.65323759198162,5.31139149854325,6.44359630789377,4.94495072219067,5.9222102399675,5.73925329036654,6.38019332243362,6.01268983428152,7.22104295926596,5.29658123844783,6.4700604301876,7.07947420661042,6.08532804492585,5.12240780121876,7.29591918019286,5.19011938730697,7.42944914738459,5.59749395248462,5.67256744801897
"LYZ",8.42715480538457,10.9946414527141,11.4652248709313,8.0004195731288,10.0743471750718,7.06838445860624,9.30563111030861,8.48110939949293,11.1936606474706,5.91331405011655,8.85346853837422,9.58589261964551,10.689802230799,5.1164987178244,7.90636964717159,7.36142399833504,10.6887343127223,7.26165121634386,8.91126860054147,5.18933765691332,9.67927346068713,6.77520914152407,9.82179894323008,7.77088970007366,9.93037584022073,9.79430314256873,11.4425540381665,10.1228087069222,10.997918232046,8.5051634908256,10.0997681154463,11.7865973714663,11.674097659865,10.3677702398161,11.7410809747828,9.68176150844797
"MITF",5.91579109129201,5.87500621310336,5.13992865582139,4.89607001082292,4.94343227490179,4.75092386422457,4.84022500093525,4.93143363169318,4.96988424642359,5.05494502517064,4.71778095729916,5.05137626161549,4.21514587096093,5.24970902512223,4.57132162645162,4.83508839035907,4.72879769430322,4.69186429974591,4.59107124937619,5.33558808823424,4.8917088111757,5.89424308722217,5.144840131713,6.34559089268382,5.81318035862458,6.19920904412386,6.40899031460309,6.78668049842744,7.31141297475771,5.34607279590255,4.97088692671506,5.95521342133072,6.06344274649404,5.27905385154052,5.36379881249901,5.06011657375226
"PLA2G2A",6.20106767757701,6.86076789922588,5.38708506590032,6.78613925802932,7.77637922958922,5.99017954246465,7.11653087353801,5.72650104228001,6.91170560255712,6.17178359512245,7.2839674070883,7.83117948672178,8.37256647780611,7.82382757849265,8.88941693090335,7.30871241068817,8.59095689108645,6.80034060879661,8.10029937787828,6.70187611359868,7.19661420755122,6.98208305685525,9.30245860397067,6.15484123053649,7.55271264715061,5.5290076313184,5.76549222628882,6.52391101088396,6.24800108067286,6.99558251360878,7.66592002283362,6.18279208181631,5.70971112574471,5.7939947758217,6.74936740927072,6.43750949895447
"SYT1",5.49118603890148,4.21743789665114,7.11086495490256,4.62292978842769,3.81730099641929,4.63784104297079,4.09805770026652,4.55404225614135,3.79217001238154,4.43222120646339,4.08063756078701,4.27177108677633,4.08821931766618,5.06448729251563,4.17375295109545,3.97781287008164,3.88177044588111,4.24799304717247,4.42955292777401,4.7946470876361,4.17981893820641,4.79360187646117,3.86171250846337,5.73659839362176,4.2546958388785,6.50903949273551,4.24157830977093,5.64411203228935,5.98916259409765,4.30977364311378,3.87300575591432,6.85746715255628,5.49064978617202,5.34099128606712,4.03694241179659,5.66905631420189
"CALB1",4.25041532741878,7.35159701430207,3.88858551502743,4.26837504111971,8.82451253611972,4.1328177963278,8.66441377963682,3.68081681713302,7.73196955967051,4.14548456123257,7.95394063975773,4.79968706052623,8.48263439677999,4.36352427485798,8.99837302913491,3.59994365263868,9.6652081743561,4.92148465101388,9.38224301630102,4.33590227012746,10.925916746707,3.90032294002461,8.22844465876761,3.3176640783677,8.3336547102164,4.14444727946387,6.02965541493366,3.30651429496533,5.7330438073928,3.85033049191675,7.36527235515809,4.3922307909017,6.6265072684999,4.69713073792538,8.2416222128609,4.11298550391995
