"ID_REF"	"GSM1847063"	"GSM1847064"	"GSM1847065"	"GSM1847066"	"GSM1847067"	"GSM1847068"	"GSM1847069"	"GSM1847070"
"ILMN_2981935"	20.61389	8.819757	-0.04796046	17.37497	18.96863	18.15241	9.535697	9.577623
"ILMN_2982019"	24.28288	27.236	15.07076	6.353356	42.14849	10.64912	17.7042	31.51982
"ILMN_2982097"	117.3025	130.1705	135.0468	183.852	109.5208	123.2555	147.9115	139.6389
"ILMN_2982123"	-3.020776	-2.80964	-0.2117168	-4.947015	-3.2572	-4.109546	0.5762585	5.560656
"ILMN_2982143"	55.76299	53.57442	47.43811	37.09612	39.12968	36.64336	37.0215	36.78227
"ILMN_2982192"	1026.583	1036.363	938.6653	950.8131	1044.751	1091.263	1007.279	1051.732
"ILMN_2982200"	95.7676	82.34863	74.2056	51.66629	61.38881	55.07978	70.75729	99.99905
"ILMN_2982250"	12.96815	12.59011	15.8005	12.32994	24.87489	28.04794	22.21584	17.13492
"ILMN_2982288"	0.4177559	-0.1778576	-1.735537	-3.966494	-6.432128	3.116597	-3.546036	-2.770902
"ILMN_2982308"	5.388163	6.502739	8.204276	13.58235	11.25665	11.44439	8.834902	1.568111
"ILMN_2982316"	28.77697	20.9714	32.48104	24.90493	45.39347	38.53494	26.74129	34.43713
"ILMN_2982525"	-1.422373	-1.662253	-4.284184	2.766795	-2.411965	0.05477697	-5.425513	2.920637
"ILMN_2982636"	1.665507	-1.675041	-0.9718058	-5.4434	-9.187131	0.6734655	-2.891266	-5.92761
"ILMN_2982652"	142.5435	79.47998	91.05016	92.72887	137.2898	98.24188	107.9222	122.8158
"ILMN_2982662"	-12.15473	1.224083	-12.18913	-8.525604	-6.755646	-4.24822	-10.10857	-1.904827
"ILMN_2982663"	-8.309318	-5.669408	-1.782292	-0.9342834	-2.520602	-3.451205	-6.270859	-3.175231
"ILMN_2982736"	211.63	204.5132	221.7654	222.5608	206.8083	228.882	230.8605	264.5842
"ILMN_2982764"	-4.453372	-5.95262	-1.861888	-5.975851	0.01377947	0.8324116	2.151321	-0.008435423
